Date;Eastern region - Minimum (GW);Eastern region - Maximum (GW);Eastern region - Average (GW);Western region - Minimum - (GW);Western region - Maximum - (GW);Western region - Average - (GW);Central region - Minimum - (GW);Central region - Maximum - (GW);Central region - Average - (GW);Southern region - Minimum - (GW);Southern region - Maximum - (GW);Southern region - Average - (GW)
2017-05;12.7;17.5;15.0;9.6;15.6;12.8;10.6;19.4;15.3;3.1;5.4;4.5
2016-06;11.8;18.3;16.4;11.2;16.2;14.1;12.3;19.2;16.0;3.8;5.6;4.9
2016-08;15.0;18.6;17.1;11.5;16.0;13.9;13.6;19.5;16.8;3.1;4.9;4.5
2014-06;12.6;16.5;14.7;9.7;15.1;12.2;11.3;17.0;14.0;3.1;4.6;4.0
2017-06;14.0;18.3;16.0;10.9;16.5;14.1;12.0;20.1;16.4;4.0;5.7;5.0
2014-05;10.9;16.2;13.8;7.9;13.2;11.0;8.5;16.5;12.6;2.7;4.4;3.7
2017-10;12.7;17.0;14.8;9.2;14.5;11.9;8.7;16.0;12.2;3.1;5.1;4.1
2016-12;10.3;12.9;11.4;5.4;10.2;7.6;5.6;11.0;7.9;2.5;4.1;3.3
2010-04;7.146;10.1;8.854;5.172;9.993;7.925;4.658;9.246;7.005;1.613;2.867;2.315
2010-08;10.8;13.358;12.21;9.075;13.231;11.41;9.531;13.416;11.514;1.956;3.277;2.833
2010-06;9.8;12.8;11.488;8.269;12.467;10.408;8.661;14.006;11.404;2.233;3.309;2.855
2012-08;9.3;15.6;13.1;2.7;3.9;3.4;10.5;14.4;12.5;9.1;14.0;11.9
2012-07;10.5;16.0;13.4;2.7;4.1;3.4;10.6;14.4;12.5;9.6;14.3;11.9
2011-10;8.0;12.7;10.1;6.6;11.9;9.8;12.1;5.5;8.2;1.9;3.3;2.6
2014-11;9.6;13.6;11.1;5.3;10.6;8.2;5.1;10.4;7.1;2.2;3.8;3.0
2013-07;11.8;15.3;13.7;10.8;14.6;12.4;11.8;17.0;14.5;3.1;4.4;3.8
2011-12;7.3;9.4;8.2;4.0;8.0;6.2;9.0;4.8;6.6;1.3;2.8;2.2
2011-11;7.2;10.2;8.4;4.2;9.2;6.9;8.4;4.1;5.8;1.1;2.9;2.3
2009-08;10.8;13.358;12.21;9.075;13.231;11.41;9.531;13.416;11.514;1.956;3.277;2.833
2009-09;9.7;12.8;11.371;7.484;12.262;10.208;7.152;13.036;9.979;1.646;3.312;2.699
2009-05;8.245;11.8;10.26;6.343;11.777;9.139;5.255;12.594;9.297;1.926;3.143;2.58
2009-11;6.9;9.9;8.161;4.738;9.748;7.555;3.585;7.9;5.162;1.533;2.69;2.101
2015-07;13.9;17.6;16.0;10.2;15.3;13.0;12.2;18.5;15.7;3.3;4.9;4.4
2017-01;9.8;12.1;10.9;5.5;9.4;7.3;6.1;10.7;8.1;2.5;4.0;3.2
2013-10;8.8;13.5;10.9;7.3;13.4;10.6;6.1;12.9;8.7;2.1;3.8;3.1
2017-12;9.8;12.5;11.1;6.1;9.7;7.8;6.2;11.6;8.4;2.1;4.2;3.2
2017-02;9.3;12.4;10.9;4.7;9.4;6.8;6.5;17.9;8.7;2.4;4.1;3.2
2014-02;8.6;11.2;9.8;4.9;8.6;6.8;5.1;10.0;7.2;2.0;3.3;2.7
2010-07;10.147;13.062;11.668;8.703;12.304;10.491;9.122;13.3;11.228;1.937;3.128;2.694
2009-04;7.146;10.1;8.854;5.172;9.993;7.925;4.658;9.246;7.005;1.613;2.867;2.315
2009-02;6.5;8.454;7.404;3.731;7.458;5.762;3.768;7.213;5.11;1.445;2.336;1.876
2009-03;6.7;9.1;7.874;3.637;9.073;6.501;3.781;7.859;5.767;0.899;2.526;2.021
2011-09;9.9;13.0;11.7;7.8;12.3;10.4;13.2;8.6;11.0;2.1;3.4;2.9
2011-06;10.3;13.3;12.0;8.0;12.3;10.5;14.0;9.3;11.9;2.4;3.6;3.0
2012-01;4.6;8.5;6.2;1.6;2.7;2.1;5.9;8.9;7.8;3.2;7.3;5.2
2012-11;4.4;8.7;6.4;1.9;3.2;2.6;7.0;10.9;8.8;5.1;10.8;8.1
2012-10;5.7;11.9;8.9;2.1;3.5;2.8;8.4;12.2;10.5;6.8;12.7;10.3
2011-03;6.9;9.4;8.0;3.9;7.8;6.2;7.5;3.9;5.6;1.5;2.6;2.1
2009-07;10.147;13.062;11.668;8.703;12.304;10.491;9.122;13.3;11.228;1.937;3.128;2.694
2017-07;14.9;18.8;17.2;11.7;16.3;14.2;14.1;20.2;17.9;4.0;5.7;5.1
2016-05;12.3;17.2;15.2;10.0;15.7;12.7;5.0;17.5;14.1;3.1;5.1;4.2
2016-03;10.0;13.3;11.5;6.6;12.1;9.2;5.7;12.3;8.0;2.6;4.5;3.8
2016-11;10.5;14.7;12.1;6.5;12.0;9.4;5.5;11.5;7.8;2.4;4.3;3.4
2016-02;10.1;12.5;11.1;5.0;9.7;7.2;5.5;10.9;7.8;2.4;4.1;3.1
2016-04;10.1;15.0;12.6;7.0;13.7;10.5;5.6;14.3;9.8;2.6;4.5;3.7
2015-01;9.5;11.9;10.6;4.4;8.8;6.6;5.4;11.2;7.8;2.1;3.5;2.8
2016-01;8.8;12.5;11.0;4.4;8.8;6.7;6.0;11.8;8.0;2.1;3.8;3.0
2015-06;13.5;17.4;15.7;10.3;15.2;12.6;13.0;18.3;15.5;3.1;5.0;4.2
2015-08;14.8;18.7;16.8;11.1;17.0;14.6;13.4;19.9;16.6;3.2;5.1;4.3
